GameIndex,MoveNumber,CurrentPlayer,MoveType,FromVertex,ToVertex,ChipsRemaining,WhiteScore,BlackScore,CoinsFlippedVertices,GameResult
81,62,black,RingMovement,52,51,14,1,2,,
81,63,white,RingMovement,37,18,13,1,2,27,
81,64,black,RingMovement,51,50,17,1,3,,black
82,1,white,RingPlacement,-1,45,51,0,0,,
82,2,black,RingPlacement,-1,79,51,0,0,,
82,3,white,RingPlacement,-1,8,51,0,0,,
82,4,black,RingPlacement,-1,46,51,0,0,,
82,5,white,RingPlacement,-1,26,51,0,0,,
82,6,black,RingPlacement,-1,17,51,0,0,,
82,7,white,RingPlacement,-1,74,51,0,0,,
82,8,black,RingPlacement,-1,6,51,0,0,,
82,9,white,RingPlacement,-1,37,51,0,0,,
82,10,black,RingPlacement,-1,40,51,0,0,,
82,11,white,RingMovement,37,36,50,0,0,,
82,12,black,RingMovement,6,5,49,0,0,,
82,13,white,RingMovement,26,25,48,0,0,,
82,14,black,RingMovement,79,78,47,0,0,,
82,15,white,RingMovement,74,75,46,0,0,,
82,16,black,RingMovement,46,56,45,0,0,,
82,17,white,RingMovement,45,44,44,0,0,,
82,18,black,RingMovement,17,16,43,0,0,,
82,19,white,RingMovement,8,7,42,0,0,,
82,20,black,RingMovement,40,39,41,0,0,,
82,21,white,RingMovement,44,43,40,0,0,,
82,22,black,RingMovement,5,4,39,0,0,,
82,23,white,RingMovement,36,35,38,0,0,,
82,24,black,RingMovement,78,77,37,0,0,,
82,25,white,RingMovement,75,76,36,0,0,,
82,26,black,RingMovement,16,15,35,0,0,,
82,27,white,RingMovement,7,9,34,0,0,8,
82,28,black,RingMovement,4,12,33,0,0,,
82,29,white,RingMovement,76,68,32,0,0,,
82,30,black,RingMovement,12,11,31,0,0,,
82,31,white,RingMovement,43,42,30,0,0,,
82,32,black,RingMovement,77,80,29,0,0,78;79,
82,33,white,RingMovement,42,41,28,0,0,,
82,34,black,RingMovement,11,13,27,0,0,12,
82,35,white,RingMovement,41,31,31,1,0,,
82,36,white,RingMovement,31,30,30,1,0,,
82,37,black,RingMovement,56,55,29,1,0,,
82,38,white,RingMovement,68,67,28,1,0,,
82,39,black,RingMovement,15,14,27,1,0,,
82,40,white,RingMovement,67,66,26,1,0,,
82,41,black,RingMovement,14,18,25,1,0,15;16;17,
82,42,white,RingMovement,35,34,24,1,0,,
82,43,black,RingMovement,39,38,23,1,0,,
82,44,white,RingMovement,30,29,22,1,0,,
82,45,black,RingMovement,13,22,21,1,0,,
82,46,white,RingMovement,34,33,20,1,0,,
82,47,black,RingMovement,22,21,19,1,0,,
82,48,white,RingMovement,29,28,18,1,0,,
82,49,black,RingMovement,38,41,17,1,0,39;40,
82,50,white,RingMovement,66,69,16,1,0,67;68,
82,51,black,RingMovement,41,42,15,1,0,,
82,52,white,RingMovement,33,32,19,2,0,,
82,53,white,RingMovement,28,32,18,2,0,29;30;31,
82,54,black,RingMovement,42,43,17,2,0,,
82,55,white,RingMovement,32,33,16,2,0,,
82,56,black,RingMovement,55,54,15,2,0,,
82,57,white,RingMovement,69,70,14,2,0,,
82,58,black,RingMovement,18,10,13,2,0,,
82,59,white,RingMovement,9,3,12,2,0,,
82,60,black,RingMovement,80,72,11,2,0,,
82,61,white,RingMovement,70,71,10,2,0,,
82,62,black,RingMovement,21,20,9,2,0,,
82,63,white,RingMovement,33,34,8,2,0,,
82,64,black,RingMovement,20,19,7,2,0,,
82,65,white,RingMovement,34,35,6,2,0,,
82,66,black,RingMovement,10,27,5,2,0,18,
82,67,white,RingMovement,71,62,4,2,0,,
82,68,black,RingMovement,19,23,3,2,0,20;21;22,
82,69,white,RingMovement,62,61,2,2,0,,
82,70,black,RingMovement,27,25,1,2,0,26,
82,71,white,RingMovement,61,60,0,2,0,,draw
83,1,white,RingPlacement,-1,41,51,0,0,,
83,2,black,RingPlacement,-1,57,51,0,0,,
